"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"1700016K19Rik" 0.633482 0.323424 0.983596 2.30748 0.932386 1.95831 3.27809 0.684215 0.88057 2.43936 2.09365 2.12023 3.35258 2.30867 2.98258 1.61081 2.02308 2.19087
"1700017B05Rik" 7.406881 6.815336 12.145839 3.3634767 3.0211249 7.0804615 7.174403 1.409297 2.4944084 9.111221 7.32456 8.407578 5.481289 10.4224021 8.3375001 9.149376 11.75659 11.748364
"1700019D03Rik" 75.351026 46.2609 49.64362 44.00262 35.906452 27.58406 35.9467 27.5071000237607 39.0223 28.932977 23.49395 35.4544566635 40.39542 37.9949 34.42711 56.623916 29.9392 39.44349
"1700020L24Rik" 5.561495 4.485199 4.687222 3.03063 1.303721 6.166271 4.593105 1.95667 3.118917 6.06455 4.792702 4.270138 5.69698 7.07559 6.74759 3.094461 5.777631 4.676334
"1700024J04Rik" 0.888734 0.412475 0.24587 0.809177 0.610624 0.801534 0.395287 0.911775 1.11809 0.199203 0.500389 0.377876 0.261069 0.19786 0.213563 0.600168 0.507335 0.510603
"1700025G04Rik" 29.8140064 16.601769 15.3648282 14.006893 13.383504 14.91382 18.661284 13.774515 14.834252 13.8202429 25.773271 21.322229 16.1484482 14.8248053 15.74877 27.443506 15.618453 19.56151
"1700028J19Rik" 0.709832 1.159992 1.066201 1.3641642 1.2834577 1.654145 1.131448 0.1692415 0.548192 1.865046 1.174337 1.576579 1.5013467 1.6935615 1.137066 2.179336 1.2819504 1.704575
"1700029I15Rik" 0.398755 0.767721 0.421738 0.7274238 0.209673 1.126501 0.566527 0.158886 0.53334 0.678047 0.164685 0.574301 0.364892 0.738077 0.378537 0.623557 0.561914 0.415402
"1700029J07Rik" 0.0879093 0.297558 0.0344755 0.374571 0.296863 0.389591 0.4699825 0.2151621 0.153779 0.52743 1.0676771 0.3200876 0.2296651 0.485531 0.5107578 0.6501153 0.3326425 0.0876481
"1700030C10Rik" 0.208371 0.195712 0.428513 0.463829 0.383237 0.544698 0.142594 0.0869378 0.156158 0.406588 0.504667 0.753961 0.373595 0.482099 0.27775 0.737203 0.550758 0.740118
"1700030J22Rik" 0.859145 0.53377 1.127197 0.799196 0.64837 1.308439 0.84761 0.229179 0.290081 1.032729 0.696927 0.794768 0.878206 0.994885 0.845239 1.217325 0.897732 1.07787
"1700030K09Rik" 1.40357 1.00937166 1.57423 1.81875 1.142313 1.42418 2.28922 0.614041 0.348156 2.489559 1.961836 2.30086 2.94128 1.75753 2.28411 3.21219 1.87345 1.55734
"1700037C18Rik" 5.7817916 7.975142 6.1767003 7.303541 5.478711 4.92328 3.922699 3.829748 7.151366 7.349067 8.808956 5.755988 4.601571 4.688436 4.444552 6.16379 7.633393 6.859237
"1700037H04Rik" 20.2093183 18.9588666 24.6126646 23.140626 19.098455 23.8046701 33.037293 10.4514715 15.1119069 31.979537 33.35769 31.224364 34.958437 29.72753 33.184515 36.793365 31.232512 32.043532
"1700056E22Rik" 0.726738 1.505248 2.3155 1.938529 0.91584 1.77362 1.250956 0.303626 1.02528 1.427577 0.755266 1.448839 1.499182 0.678529 1.84991 0.738944 1.61404 1.156855
"1700057G04Rik" 3.85045 2.05818 1.51229 4.114704 3.74754 2.92587 1.1319086 2.03382 1.122498 0.961759 0.925204 0.645956 0.796875 1.849932 1.08215 2.10088 2.66442 1.00123
"1700066B19Rik" 38.6597 24.07599 22.09085 14.1013 18.06764 9.376086 4.469914 24.92886 33.0461 3.644917 4.891957 6.94244 6.77901 5.09914 4.74269 6.00572 10.589262041 6.95466
"1700066M21Rik" 15.9245 5.87974 9.400656 10.88059 6.446955 6.515752 6.481087 4.159896 5.2756 2.969145 4.28191 3.979967 3.59621 4.713986 2.525387 4.58808 7.953487 7.47819
"1700086L19Rik" 0.669172 1.0231933 1.01959 0.481192 0.993581 0.851666 1.23772 0.52557 1.56231 1.741535 0.844345 1.27953 0.890705 1.075819 1.343465 1.124819 0.591122 1.109788
"1700088E04Rik" 1.396145 1.6646394 1.0526061 1.0403627 1.9898394 1.1965654 2.4409638 0 1.447289 2.7670409 1.9044575 3.1967588 2.946398 1.6589222 3.4117947 2.6911029 2.4699129 0.9167394
"1700094D03Rik" 0.101912 0.702942 0.194484 0.231148 0.511556 0.283965 0.164213 0.122795 0.0746254 0.053053 0.121053 0.292827 0.248683 0.199286 0.101431 0.274163 0.0976801 0.12685
"1700102P08Rik" 0.99508 0.684773 0.201485 0.348989 0.275252 0.2759933 0.3013359 0.223874 0.506591 0.4835213 0.2319413 0.607469 1.078819 0.684202 1.250927 0.3229786 0.1453269 1.00435
"1700109H08Rik" 0.5555455 0.6274232 0.1707537 1.392559 0.846152 0.329168 0.976139 0.127795 0 0.2443215 0.7477766 0.160774 1.6006828 0.273219 0.111499 0.795232 1.0204816 0.6950098
"1700123O20Rik" 74.44561 51.48775 37.05134 50.936747 51.41603 46.753686 34.13883 66.348107 73.01953 30.95629 33.41185 27.92732 23.38806 26.72968 21.11426 38.04006 41.22797 34.31994
"1810009A15Rik" 40.961204 54.000386 53.265774 56.146128 63.906996 46.291593 27.132716 74.2187679 60.123931 29.7657 26.5765192 35.043944 34.117267 31.958401 29.790646 28.146905 47.040255 31.547609
"1810010H24Rik" 0.6074905 0.560168 0.417757 1.2664649 0.678128 0.944329 1.447311 0.5327125 0.934459 1.986975321 1.367254 1.760407 1.52904 2.0274455802 2.370365 1.134971 1.542925 0.85268
"1810013L24Rik" 39.0699 29.0247 35.558 18.34893 18.57328 23.7563 30.9884 9.62443 18.81913 31.6435 35.2666 32.2581 24.18445 29.61 29.07894 35.501 24.2803 41.899
"1810014B01Rik" 8.087931 3.480222 3.009563 4.170613 3.403858 3.47304 3.296026 3.001424 2.6978128 3.83936 5.81655 2.617591 2.624589 2.578928 3.19453 3.573996 2.51106 2.547527
"1810024B03Rik" 0.3132962 0.1167384 0.1089399 0.1076585 0.2103647 0.0997611 0.1890116 0.0841827 0.5616141 0.268837 0.1950363 0.2952558 0.4479533 0.2287842 0.2396737 0.297396 0.0544511 0.0471545
"1810030O07Rik" 10.76 10.666 14.743 9.33913 10.5235 12.3341 17.6725 3.82471 5.84517 20.9836 18.0325 17.2401 18.1845 16.8989 18.7801 21.6762 13.2783 16.7506
"1810037I17Rik" 112.947 103.897 68.6271 126.835 128.963 97.7974 56.795 209.792 194.249 57.475 52.1852 63.243 75.2143 53.8821 57.3064 50.662 88.5572 57.9416
"1810046K07Rik" 0.0299209 0.0590885 0.0369718 0.342965 0.231514 0.270788 0.172114 0 0 0.4864107 0.681613000560998 0.2643192 0.19555900379538 0.3698580054559 0.261093 0.18822700106031 0.184769 0.187846
"1810049J17Rik" 7.88529 34.7283 84.4535 55.6659 61.4193 57.8329 79.2615 0.650246 1.22243 112.981 67.4699 119.119 71.9243 136.535 122.137 84.0523 78.6495 72.5951
"1810055G02Rik" 9.224276 7.294292 14.66179 6.748056 5.215254 8.612058 9.329022 3.36874773 4.3931504 12.150585 15.011957 10.079497 8.210899 11.29372 7.337001 10.80814549432 7.265951 8.180184
