"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"Aebp1" 0.533069 0.923804 5.239033 1.817657 1.813184 1.990415 6.42528 1.02106 0.3882599 16.282251 7.31509 11.8163 7.0940300132991 12.3306 9.98259 9.456377 5.57331 1.93331
"Aebp2" 24.401987 15.54910415024 19.846517 12.202515 11.7695259 17.178752 22.290405 3.5439711 5.6560721 23.1600797 26.521679 22.958895 24.524662 24.8908 23.082588838 34.283412 19.9415192 24.10782
"Aen" 8.53137 13.47635 24.361552 8.53558500432659 7.641931 11.0358653 14.186666 3.673447 4.997632 12.365533 8.96923 11.704855 9.18204 9.23751 6.812023 11.404654 10.130409 10.7648545
"AF366264" 0.0751255 0.130216 0.0250498 0.107833 0.190295 0.114778 0.12864 0.0572538 0 0.208899 0.25226 0.108581 0.176476 0.131517 0.123688 0.13108 0.0626294 0.112196
"Afap1" 1.0506487 2.0985401 4.2521222 2.3745916 2.2959751 3.633252 8.58164 0.275526 0.250369 11.2510614 12.0909434 10.9902535 9.4823703 12.2549039 12.82485622 11.0767134 4.3690917 6.4449596
"Afap1l1" 0.321941 0.765605 1.04699 0.9724391 1.137051 1.3629401 3.7493593 0.393992 0.423448 5.43809 4.105048 3.53886 4.9487249 5.23405 5.0410022 4.29194 1.8552 0.801267
"Afap1l2" 0.693059 0.8945 1.71641 0.652971 1.2058493 1.0593108 2.64736 0.208905 0.375812 4.8874914 3.774872 3.9003756 3.200295 4.0399267 3.601608 2.59552 1.528092 0.9449282
"Afdn" 17.920827 25.0461285 68.532015 31.235120004231 28.6396758533 38.629229 64.184968 4.1490128 5.17463242828186 72.685793 73.7340886 74.638483 84.684981 83.56625 88.49059 91.906603 58.9853953 80.554729
"Aff1" 2.703830571 3.553166309 9.97454298962 4.26488900021233 5.6373756 6.7767087 12.5502796559 0.3246393 0.829715 17.749136 16.928299839 19.186776 19.15649652097 21.062434 21.973202 15.2817271201 9.985409 14.87339
"Aff2" 0.0116595 0.0548673 0.1202291 0.0224647 0.0636798 0.1303855 0.126601 0 0 0.3238549 0.553027 0.2087809 0.11887 0.2522939 0.170465 0.2118618 0.0254156 0.0542648
"Aff3" 0.391581 0.692610200977866 0.540982 0.45879537724 0.4853750000602 0.826211 1.374705 0.10685700147231 0.066001000425275 1.614944 1.0447239 2.000004 1.4607005 1.658844 1.568519 1.978848 1.25761313544 0.591197
"Aff4" 10.7480081 7.2471681 16.916784 7.9475997 8.9743534 14.9443637 21.7407018 1.3200154 1.9867235 24.19119 26.6685227 26.350109 20.9395428 23.075404 24.5711792 27.33822 16.7158434 25.808753
"Afg1l" 4.83665 5.70227 9.49526 6.40867 6.78355 7.50495 10.21107 1.667327 2.006267 10.61134 8.91102 11.29824 12.17904 10.58276 10.89826 11.81309 9.878374 11.70214
"Afg3l1" 11.84225 8.515443 16.4881840088478 9.660997 8.4081022 11.093435 15.332341 2.4132073 4.159099 17.031053 16.234323 18.62556 17.095775 17.200351 17.620322 20.756947 16.2680707 16.60181
"Afg3l2" 20.7515724 26.027676 48.102144 30.114815 26.332506 36.958237 57.4156019 4.502224 7.8619848 60.149184 53.8034515 57.14996 79.391727 66.888497 62.640616 60.24083 54.701819 56.692187
"Afm" 0.4112953 1.6021182 2.6918245 3.277261 3.112906 5.197037 7.662657 1.29166 0.8812835 9.744977 7.474055 7.140837 8.854882 7.396829 9.791422 8.904261 3.217478 3.512223
"Afmid" 1.8763508 3.216695 4.374437 5.8011773 6.24526 5.399109 7.5163075 5.81140363465 2.106058 7.1230003 6.213201 7.993617 10.95068 10.274597 9.136427 7.070296 6.111374 5.635102
"Afp" 2.339879 0.0649584 0.2353091 1.078232 0.6675474 0.2534671 1.084519 0.601986 1.188541 1.46894 1.031496 1.350412 0.5656566 0.985975 0.7204582 1.323147 1.21126 1.024952
"Aftph" 20.926155 24.0664449 27.1323124 20.858051 26.768113 31.07038 36.2755229 8.1252546 8.921592 35.401028 43.594895 35.683145 31.369306 31.667078 32.414684 42.153101 32.580953 38.42165
"Aga" 17.455754 23.217853 29.150696 22.971635 21.993784 24.818764 27.671291 11.122625 18.7309 27.403934 24.684936 26.233102 28.386158 25.899258 29.771103 26.389109 26.131956 26.612351
"Agap1" 0.9289971 2.344542 4.866818 2.581635 2.62914614 4.092233 7.25936 0.4210831 0.6983898 10.561377 7.50036 11.371954 9.92437 9.80493 9.98518 9.51744 4.99406 6.054415
"Agap2" 0.276334 0.912605 0.634944 0.67033 0.764741 1.341653 0.879498 0.147548 0.157781 1.163034 0.696605 1.298855 1.006823 1.463809 1.283126 1.504307 1.784693 0.675303
"Agap3" 4.1657631 8.2959912 15.2297245 10.719698283263 8.081867 11.957972 18.651107 1.559303 2.221188 26.052936 21.868532696 22.963794 27.48948 26.826192 26.18525 22.129591 16.0644 14.194926
"Agbl2" 0 0.0711981631 0.1115366177 0.0721889 0.0784722 0.0362939 0.273654700626795 0.025986889 0 0.481308098 0.2857366591 0.21121243507 0.3779394 0.175677715 0.230492 0.0251176981986 0.068542 0.0780442345
"Agbl3" 4.4158487 2.1760524 3.0057001011 5.0463209 4.6213888 2.8664532 4.5485958 5.6328797 5.952149 3.6412816 4.7873333 3.0744878 3.1037985 4.85822 4.0500982 2.2819292 2.5216393 1.7839144
"Agbl5" 2.2300659974 2.5113076 2.7124573 2.9962834 2.7952358 6.23220656 6.68846 0.269257 0.6578059 7.5247608 6.6367469 7.051611746 5.67357503 6.732395522665 10.40087516182 9.20594582 4.3967713 5.702246
"Ager" 0.352836 0.214222 0.075664815 0.6661545 0.849024 1.1123255 0.411127 0.19016 0.25626 0.5681302 0.355607 0.742155 0.446345 0.96814 0.405503 0.405341 0.969479 0.170416
"Agfg1" 36.654405 23.5550393 32.8905493 14.3810549 17.5580399 25.5837496 27.108596 7.4901901205 10.8936600008011 24.56377 29.048118 23.727493 15.3555931 20.845325 18.179467 34.260148 25.2803158 33.445517
"Agfg2" 2.704222737 7.439632 11.151644 10.910367 10.7722267 14.5257707 17.278478 1.281589 2.956346 22.02327 21.039981 22.832415 28.0578115 33.354573 27.25788 23.465306 19.458654 18.469108
"Aggf1" 9.15076 12.337268 21.5131 11.0925535 10.283936 14.055073 19.384733 1.69885 4.03153 19.932339 16.045 17.7491 15.8371716 15.8286 13.728 20.37111 17.2888954 21.013141
"Agk" 4.1337194 4.25651487 5.5749018 3.7421953 3.9898508 5.7801638 6.8639571 0.8969142 1.7141913 9.5624865 5.7666545 6.84785 6.3089281 7.9104435 7.1792473 7.550816 4.8916576 5.9971808
"Agl" 1.711116 2.2010928 5.0961835 2.5476978 2.0983412 3.4461525 6.8287019 0.4220531 0.7412235 7.5586728 7.870499 7.04157 7.3081614 7.6879101 8.4231343 9.7271225 4.5521078 6.8757738
"Agmat" 0.13769 0.0517621 0.485743 0.447826 0.289633 0.415136 0.603325 0 0.0619319 1.05568 0.533619 1.2756 0.646962 0.884091 1.14295 0.562955 0.161852 0.45309
"Agmo" 0.346185 2.6924447 2.6575371 2.9303991 2.004825151 4.307569 11.1877276 0.852382 1.46914 7.9463336 9.4265888 7.8713159 6.9370488 7.7957112 9.635345 10.0256806 1.53439 3.5892898
"Ago1" 2.2548536 2.5810453 6.4851607 3.623857 3.4643465 6.45549213 12.5604336 0.351197 0.650674 14.762452 14.523699 14.971216 13.84497533 15.0009886 15.291703145 13.884677 7.1474754 10.753298
"Ago2" 3.297614 2.73936 8.92203 2.41325 2.67351 5.437532 8.64432 0.630064 0.931091 10.2057 12.0308 10.7008 7.17136 9.70496 9.91335 11.114526 6.042601 10.3507
"Ago3" 3.0931 2.57805 1.826511 1.2595132 1.4399814 3.097282 3.5510014 1.2533247 1.800996 1.886361 3.178205 1.890271 2.576247 2.2305252 2.212624 1.4226950495456 1.470908 3.991324
"Ago4" 0.270928 0.584077 0.590616 0.7184274 0.6783308 0.783124 1.33412 0.170743 0.253618 1.900867 1.704567 1.6153 1.33729 1.37874 1.784334 1.5089 1.00365 1.3382
"Agpat1" 42.049227 51.355908 102.214171 67.106953 67.14859 79.951564 109.607726 10.77594185 17.115196 132.735317 120.86738 136.612554 139.074538 136.823643 147.804 109.031772 112.97328 127.596385
"Agpat2" 106.661325 49.119194 63.117575 61.49356 52.928506 51.858 56.839965 53.32859 68.514013 64.538564 48.299565 59.227555 74.877066 75.10621 66.03771 57.97557 61.573878 51.808319
"Agpat3" 17.884378 19.4364390368074 37.302312 24.284725 22.166966 25.855747 39.248009 6.2329579 6.855893 54.035981 43.93627315788 51.022856 47.875127 49.234527 53.474348 50.615007 33.299092 38.116877
"Agpat4" 77.80975 55.90027 95.614962 48.621624 57.28920657337 61.4203 90.184831 18.895575 38.21518 93.355399 109.7083 89.66502 84.309244 78.930348 88.18419 89.78909842 71.569269 95.88399
"Agpat5" 20.68519 24.44142 35.77452 14.17173 17.40974 20.70166 21.74731 9.46756 12.7445 19.96423 25.08365 22.85681 18.93994 21.14867 19.59621 24.63885 15.12735 26.91469
"Agps" 26.2138939 8.919093 17.2273121 9.6796613 10.753319328 16.4038479 16.3947216 5.235737 8.8925291 15.44036 19.184097 17.7770536 12.4549026 19.371388 11.1222911342 22.535321 15.953563 24.370889
"Agr2" 2291.47562 1797.27183 1624.935617 1696.61203 2209.06555 1639.85344 1035.01502 4098.953053 4329.967053 1291.66567 1661.08173 1683.338106 948.618742 1187.22636 1170.758543 1174.35419 1555.85356 1875.857248
"Agr3" 0 0.272905 0.136746 0.267396 0.61237 0.250058 0.710031 0.115121 0.0865279 1.3988 3.34062 3.16363 1.37365 2.032453 1.19819 0.993554 0.204869 0.0860275
"Agrn" 5.319129865 5.602226 11.6560294 6.7933323 8.845176 9.059426 11.5612859 1.06090104 1.93583840847245 16.3679158 14.32095318651 17.46038530867 16.7191567 25.004145 18.002164 15.211714 11.969926 17.5111578722
"Agrp" 0.0828143 0.234875 0.0998976 0.699272 0.801538 0.880431 0.72614 1.189073 1.903268 0.355462 0.777851 0.471121 0.664327 1.024698 0.492512 0.766031 1.077677 0.49809
"Agt" 1.690994 6.65908 14.97018 4.59366 4.26688 7.03196 16.96374 1.333448 2.67478 28.0216 22.755 21.5964 20.5072 31.4624 28.374 23.2582 10.75888 9.44894
"Agtpbp1" 5.6374685 7.12724476 7.7983533 4.5026829 6.4437996 5.29444904 7.8088824 4.14185403 2.45023343 10.8109892 11.3404182 9.6646378 8.05402474 9.9027914 7.4688469 9.8366611 8.7924153 6.373708
"Agtr1a" 0.547959 1.402 1.853785 1.03451 1.2978 2.00375 4.2219 0.0322537 0.204907 4.64978 5.526753 4.63767 4.352833 4.885649 5.158584 6.23114 1.67791 2.33585
"Agtr1b" 0.0687175 0.139502 0.0969296 0.128135 0.1922868 0.2215643 0.108518 0.121578 0.0867435 0.49212900356097 0.389563 0.265145 0.300630152319 0.386765 0.433476 0.3241088 0.13569 0.0495122
"Agtr2" 0 0.00959325 0.0359858 0.0476717 0.0107203 0.0329782 0.212814 0 0.0230384 0.290207 0.127924 0.104006 0.132719 0.100764 0.205258 0.161532 0.0479854 0.138175
"Agtrap" 34.2909 23.80792 47.0293 19.95744 14.54526 13.61584 15.97227 8.09139 11.77709 16.6305 17.09011 19.63361 18.91814 19.83684 18.28075 16.67979 28.61669 25.80044
"Ahctf1" 4.1329869 3.94861 7.3461404 2.3970334 3.6388816 5.7035154 6.8221098 1.3256559 1.9951024 7.9588506 10.5226028 7.9304572 6.4954283 5.7097549 5.7088928405731 10.5515167 4.1338853 6.7923769
"Ahcy" 1.88618 1.370298 5.50304 3.859727 2.540235 2.827712 6.004101 1.001344 0.999663 4.85207 4.678037 4.40546 4.041693 3.846854 4.648718 3.622262 2.692953 3.21307
"Ahcyl1" 36.639319 31.1022982 59.5757724 27.6281183 30.1375634 46.198835 56.654435 8.17705 11.2919451 60.438802 64.9548993 67.9393778 54.5132979 57.274349 56.0539463 71.786503 43.415257 72.741698
"Ahcyl2" 14.84162 12.5875827246354 30.6983924 17.46670043 18.2686785 43.8568469 82.51418074 3.0932324037669 3.1753238 144.919479634 123.2782592 136.3579169 125.5143383 133.3440366 123.837379630261 109.361791000348 48.0736582 70.026877
"Ahdc1" 1.590236954136 1.293992 6.19314 1.8591311 3.2326267 4.091323 9.02351788 0.7305284 0.291488 9.980569 10.480463 12.2135675 10.6534518 12.5837712 13.487317 6.378278 6.8053421 7.16221
"Ahi1" 1.300219 0.674765 1.862441 0.7086531 0.68094 1.1119661 2.098417 0.4337811 0.6917710584 3.331409 3.32876 2.9879002 1.808831404925 2.07145 3.27431 2.6892223 0.817539604543 1.481177
"Ahnak" 14.57004 15.4616512 30.02618 24.4364877 18.7787638 22.10349 40.36575 6.26886 10.51231 49.9779634 61.989054 50.7297064 70.7357852 55.9081186 66.8944467 49.3578996 30.831471 39.289997
"Ahnak2" 0.2514571 0.7126769 2.773985 1.894254 1.7350788 1.753856 4.406493 0.1540406 0.1453513 7.573337 11.2425 11.15459 8.415580349771 14.0561 11.9934 10.84158 4.7053045 8.211808
"Ahr" 2.46386 2.26772 4.5751156 1.85802 2.13739 3.23579 6.73674 1.1899 0.764356 8.79222 8.20254 8.80142 6.84864 7.95035 8.14554 9.906394 3.22418 4.97973
"Ahrr" 0.205324 1.22371394 1.3692958 1.9163773 1.8699058 2.0847578 4.4447606 1.1803694 0.7054541 1.9252531 2.24795 3.6875306 1.4755778 1.8515851 0.8682802 2.65499 0.9926553 2.5871664
"Ahsa1" 70.354118 83.9440947 125.52097 64.4825928 67.8880518 66.261127 59.7030776 30.807269 43.782308 69.5692787 53.7153255 74.7863021 79.9910031 67.9761891 64.1783201 62.5579164 85.2294146 67.8556889
"Ahsa2" 9.1562611 7.247556 8.154261 5.2840802 9.022117 9.787544 7.665317 3.849978 5.239579 8.175801 6.936586 10.153119 7.134416424 6.054697 5.966928 8.778373 7.510771 6.309802
"AI182371" 0.297481 0.281024 0.112023 0.663694 0.7832249 0.473338 0.434537 0.154136 0 0.280933 0.177529 0.86359 0.569495 0.391337 0.3732538 0.24507 0.2130913 0.1964751
"AI413582" 7.65909 7.4832641 5.71299071353 12.391056 16.207352 11.1610655 5.4378134 17.902165 16.1008695 5.950075 4.69957 6.114118 9.354415 7.45847 8.747994902 6.759727 12.0347126 3.360298
"AI429214" 1.29645 1.24721 1.53803 1.5673 2.16083 1.89697 2.13124 1.02635 1.55815 2.20402 2.33551 2.33485 2.45912 1.54668 1.64455 2.80125 1.86696 1.34574
"AI467606" 11.5228 12.8779 16.9634 21.7705 17.8736 18.0926 16.2513 7.50069 9.42158 17.6636 16.225 19.2949 21.9589 18.181 20.0307 15.5795 22.622 19.6575
"AI597479" 7.81872 5.40053 5.9935 6.74787 6.97636 8.32734 9.17305 2.62294 4.17133 8.89539 8.21813 8.02898 6.99417 7.37604 7.12722 9.98043 6.90063 6.36728
"AI661453" 12.54044 15.11327 47.5055 12.94721 12.54266 13.29625 20.24441 1.3018456 2.18851 18.0138 24.47519 25.80244 28.58202 29.90499 26.55746 25.53351 29.35019 39.62336
"AI837181" 12.9953 16.81675 24.45021 22.98408 16.12584 20.09637 32.41479 7.828575588 9.00904 35.77008 30.49433 33.76163 41.59842 35.3265 39.03632 34.1826 33.37042 25.22787
"AI854703" 5.806073 10.299489 19.14467 25.743755 24.59718 29.5133 35.89059 4.093832 4.86407 34.6648 33.35342 35.4096 56.2068 33.85721 37.73645 44.75815 39.15366 34.83842
"AI987944" 9.2889603 6.22096 5.81339 5.5527 8.1970179 8.60594 6.942372 3.9274 4.998785 6.910122 6.250283 7.3912389 6.9204802 6.0514973 6.02269 9.27875 7.37267 6.351802
"Aicda" 1.747038 3.5813373 0.13605 0.501625 3.4304 4.231017 0.161501 1.01884 0.368431 0.218161 0.08568745 0.0630978 0.0753227 0.250002 0.1095161 0.424476 4.064505179 0.826714
"Aida" 51.7810168 39.8816002 45.4762292 21.960318 40.878329 25.2121613 21.646185 17.371777 22.912348 26.0323987 29.3854019 26.9605114 20.85399 25.9592841 16.959397 28.545115 27.9118446 28.494768
"Aif1" 52.9116 28.717535 19.77 20.900054 29.623011 16.539554 9.991201 35.24620976192 35.01256 12.1378 6.21704036908 9.29548 6.4271 13.863 11.048886 14.5556515156 34.5996592 9.041477
"Aif1l" 0.669318 0.603236 1.3076307 0.582907 0.48818 1.091878 0.6588495 0.450549 0.130101 0.783636 1.036916 0.725863 1.084316 1.4671849 0.982496 0.7741886 1.118324 0.24383213118
"Aifm1" 19.9794144 24.0504152 45.8075175 18.5030686 17.617777 32.355554 40.5615683 5.50839 11.10463 42.684853 44.2025919 53.0858762 40.8942597 44.26870314 46.3159046 49.83953 33.5000404 50.8983398885
"Aifm2" 3.603886 6.30602 9.66485 7.936513 7.058308 9.28804 10.424309 2.067466 2.850112 10.45582 10.68749 11.01772 13.822044 13.857863 11.118794 12.957518 11.57059 12.081424
"Aifm3" 0.17963 0.1913258 0.959991 0.518132 0.108899 0.2889729 0.293799 0.095801 0.0863057 0.326263 0.2745828 0.344345 0.4734906 0.2594808 0.467808 0.483903 0.4152856 0.383314
"Aig1" 24.8784245 33.210081 40.5853669 36.5718662 32.3692233 41.188214 59.6074653 15.7779173 22.1850313 56.7893497 56.6457777 52.5813712 69.899288 60.0260655 69.8801622 59.648021 49.6139862 49.35547
"Aim2" 98.22269 67.936373 58.4557 81.81004 112.83742 92.66832 67.555776 26.39382 43.73364 59.785482 56.937868 58.20162 49.96978 55.62899 54.24092 56.372126 84.64125 81.76105
"Aimp1" 100.9686356 89.3496461 88.1952061 80.958796 87.0228884 75.6680728 85.1470152 65.866417 82.746389 74.793762 76.3342662 69.6531172 75.327669 75.4631235 79.023 90.6487159 96.36503325 88.186098
"Aimp2" 55.807589 51.491623 69.161651 29.604636 26.349348 28.443322 34.993603 31.7898 33.920693 36.047658 36.486731 37.41495 35.963149 34.072492 33.156947 37.2136 25.721964 44.701266
"Aip" 20.41725 20.00902 22.617561 23.7466323 26.38915 18.765154 19.845581 13.3747868 13.462413 23.523833 20.2351238 22.85205 28.71673 23.989571 24.422538 22.9379689 28.881351 17.797755
"Aire" 0.150046 0.0647508 0.037164 0.1806193 0 0.300686 0.10271500300984 0 0.08687165 0.0325439 0.11849421354059 0.137044 0 0.018899 0.0749873 0.2245411 0.0704533 0
"Ajm1" 0.0204145 0.00634086 0.0396373 0.0992857 0.0558155 0.16712 0.11849400129765 0.03175570144413 0 0.172678 0.0658441 0.234333 0.14025 0.300624 0.38429247629 0.203115000119884 0.177240800541078 0.060954
"Ajuba" 0.238555 0.4338133 0.947829 0.69006 0.527047 1.106561 1.78019 0.1608189 0.170144 2.33427 2.234135 1.38854 1.91822 1.84428 1.60526 1.3076372 1.254532 0.769361
"Ak1" 0.564503 1.467828 3.037396 3.49138 1.6887 2.049288 7.308706 0.49431200493906 1.307442 8.98518 7.809605 7.954 7.951931 9.65397 10.04851 7.8350800337649 4.756871 4.48449
"AK157302" 10.2226 8.28621 10.263 7.37246 7.59582 8.5107 12.7536 4.32901 4.59033 10.9141 13.1235 10.2328 9.3826 9.6669 9.96921 13.127 8.66533 9.96692
"Ak2" 119.40617 160.559341 213.785272 121.819746 103.486805 124.505821 103.596487 47.4671345 72.04393 98.516354 101.5207 112.690433 108.634424 111.7667 99.68464 105.79773 154.989548 152.01722
"Ak3" 138.85017 112.946899 159.476226 133.390861 131.909267 163.636 245.190868 53.38345 74.902194 226.315858 264.335506 232.02805 231.351051 235.471128 222.223413 227.215 198.58866 248.489482
"Ak4" 136.36301 8.5611 20.786025303 28.37663 9.982548 8.3971453 8.264714 15.767157 36.516905 4.2191120418498 3.5826597 4.9694823705 10.488256845 10.1164980001162 6.6554012618 20.623951 45.377778 12.025609
"Ak5" 0.5782733 0.1932992 0.15823674 0.310342 1.2196127 0.108472 0.336421 0.2013619 0.030312 0.5727456676 0.210394 0.351886 0.2653668 1.167799 0.3205047 0.557902 0.1580052 0.872449
"Ak6" 142.45471 96.7777 93.627 71.774264 81.635 79.449 67.52018 90.6331 122.49717 54.4534 64.552677 58.33944 44.63865 44.81136 42.76697 70.70477 81.1224 87.1141
"Ak7" 0.383382 2.00397 2.91492 1.10908 1.418348 0.784961 0.990753 0.2416127 0.376443 0.556712 0.22718 0.443298 0.339529 0.389311 0.411826 0.912214 1.01007 0.62165
"Ak8" 0.168624 0.158252 0.028283 0.111881 0.278217 0.173293 0.2195357 0.112552 0.198503 0.439006 0.418821 0.209154 0.282347 0.1992341 0.142554 0.189373 0.80076 0.21612
"Akap1" 12.0225597568 18.8403908 31.816227 18.0492392 16.1398765 20.487828 28.4514415002687 2.5712861805 4.676261 30.730993 28.988073 26.115794 32.173259 30.1996108 30.920569 34.141129 27.418578 29.364808
"Akap10" 7.351315 5.0130180499 9.523269 6.22271 9.327279 8.777841 9.560989 3.325116 3.737726 9.503089 9.2622 9.514165 7.39897 8.323111 8.265874 12.38102 9.6665 9.820443
"Akap11" 3.1248964 3.69632635 6.7860168 3.56019 4.1772876 6.551324 8.236781 0.472751 0.66880157 12.351406 11.090925 12.4022032 8.762599 11.38099 11.287383 12.6963598 6.34273538 8.0406221
"Akap12" 0.3654635855 1.21918739 3.46664007649992 1.129676 1.0810917212582 2.7083 5.96232001874532 0.15271097 0.162821128 8.13684 6.23288 6.0296 6.03481000551725 7.47428 8.8182423151873 5.5814 2.8324073 1.897246874
"Akap13" 4.8930128 5.24375961 17.230363789631 4.7277533 6.834085 10.1337777 13.48919944 0.57378538 1.17685531 18.6824600083514 23.2825891 21.5127051 19.589202545 20.1197281 19.7233765012 27.122713173597 13.216624664 20.828776
"Akap17b" 0.188522 0.205663 0.275923 0.145618 0.168096 0.160948 0.269537 0.0179526 0.0643126 0.622367 0.431803 0.427967 0.449804 0.329239 0.574463 0.439988 0.213261 0.34083295
"Akap5" 0.0683459 0.0593566 0.0890695 0.0897974 0.1416791 0.385512 0.3631493 0.01924255 0 0.323151 0.404202 0.385806 0.3541459 0.4052836 0.50053 0.272629 0.4305135 0.0651114
"Akap6" 0.0863955 0.141965 0.2684448 0.1682051 0.2085646 0.2229768 0.694793 0.07199776 0.0331088 0.791757 0.955419 0.967427 0.687984 0.882806 1.004502 0.715809 0.2684914 0.3869571
"Akap7" 29.618039 25.199779 33.683031 26.3023814 24.8646441 33.141047 32.866447 15.167825 21.446444 33.496881 44.2303371002364 45.6222893 27.956644 39.228312 43.78692 40.482916 25.340123 38.9061586
"Akap8" 7.44137587 11.4986944 19.2275539 11.905739 11.505313 16.893576 16.319574 1.2257179 2.7920327 17.69953 15.4735705012524 17.3676903203535 17.555374 22.238975 19.5794166397584 20.830649 17.0530368 16.6416191
"Akap8l" 4.141458 3.8475819 3.27954074 9.002708 11.105089 6.911426 6.3782144 3.7506603 5.9720557 5.862907 6.5179496 5.87039395281 8.253978 5.506273 5.271086433959 8.549028 9.7771869 5.0982109
"Akap9" 3.380442 3.8327851 11.8186062 6.8680778 7.5569851 12.058653 18.776706 0.76841603 0.5805122 25.971241 18.0629424 25.060144 24.8616761 18.2222907 26.7279043 18.4779731 8.056586 13.6947084
"Akip1" 10.2507 12.095117 14.3512 11.1507 11.7406 11.317672 11.5544 6.90618 7.80092 14.348698 11.3722 12.6228 15.709213 13.890159 16.514707 10.656354 14.034379 11.5455
"Akirin1" 64.75713 43.109493 39.287011 38.48853 50.51815 56.617466 48.113655 25.175267 34.982 35.137885 43.36372 32.186451 21.93552 33.5824 25.893786 32.862817 60.34184 45.55156
"Akirin2" 37.596218 31.94909 47.069764 24.965466 32.960115 36.014264 47.0009 10.7043 18.8733 46.883465 53.115101 51.2443 31.663386 44.069281 45.5113 51.823101 44.1647 48.987927
"Akna" 1.24367 1.59717 2.72093 1.49702 2.17368 3.10918 2.79179 0.253549 0.247823 3.88858 2.26981 3.95109 3.04162 4.00376 3.82692 3.97385 5.09138 2.45139
"Akr1a1" 520.306876 458.690526 463.160308 520.767989 458.08776 475.961672 451.015726 381.49226 519.628763 466.824638 470.877948 495.059538 544.445616 486.379608 483.152541 503.339753 685.91598 543.610017
"Akr1b10" 14.1703357 13.7553687 19.0669391 10.445579 14.539241 12.7768449 12.0995158 6.248449 6.721304 14.8318 13.9292118 13.6136062 11.194626 12.799408 14.1315889 15.506503 16.277772 17.3269183
"Akr1b3" 53.8792431 71.0919242 88.999707 65.387549 65.70132 96.2812713 125.3265516 47.27716185 53.4608781 159.2377384 143.4157869 153.1163429 152.6261285 150.0438121 153.384361 134.2865265 91.041334 94.1688175
"Akr1b7" 0.620747 3.27177 2.55891 1.9957 4.15301 3.84885 1.97415 1.03633 0.582101 2.7355 1.5039 1.84263 1.78641 1.45865 2.06517 3.02654 5.95575 3.06498
"Akr1b8" 37.7003 11.2932 19.7224 13.2945 14.3975 23.6125 24.1135 10.5957 19.631 36.4509 29.602065 37.4839 35.025 23.4493 24.6079 36.6418 15.0058 22.7913
"Akr1c12" 26.5764 28.7675 32.536 37.2224 32.3769 40.7377 44.0112 12.3281 20.2633 54.2559 40.0373 54.0452 70.7785 43.9201 69.6453 58.0083 45.9614 48.2182
"Akr1c13" 77.86282 71.57317 74.8934 140.5701 141.4562 143.7676 142.1714 62.68671 72.5518 142.5807 117.1308 134.9433 181.2839 113.6522 167.2847 141.0994 116.7254 103.6071
"Akr1c14" 10.75277 47.6272 63.7011 55.9487 73.970715 77.7908 90.4007 17.49077 18.74689 76.8617 88.9659 79.3485 71.2375 69.2294 74.7115 82.1491 65.6941 103.620666
"Akr1c18" 2.382873 2.38856 1.83346 0.942905 1.045282 1.75135 0.482265 1.58023 2.73994 0.4851056 0.748786 1.028 0.265741 0.837052 0.0451192 0.77202 0.677205 1.26457
"Akr1c19" 6.736293 6.9367508 7.835527 14.403251 24.398285 40.37663 25.909355 6.3820374 6.7733611 43.30734 72.66451 56.89978 55.91267 54.56694 54.68875 52.32292 25.026504 22.14539
"Akr1cl" 0.315555 0.4045125 0 0.4424378 0.51491190056158 1.099974 0.0914466 0.184139 0.137755 0.3000586 0.349948 0.741268 0.2834725 0.672146 0.44111725 0.28594 0.5907275 0.660655
"Akr1e1" 7.25308 4.142025 7.91221 8.206234 9.68995 10.07895 7.25504 4.778160028467 3.71066 11.24647 10.47009 11.61148 11.82643 8.934957 8.070224 10.249400104507 13.2512201 7.68951
"Akr7a5" 11.829871 29.306412 39.1449871 33.866801 26.588621 38.360456 52.9249 10.2992681 14.3574 58.1776 46.2935 62.6552 65.2217 65.056614 70.008 53.1258 44.002185 39.122083
"Akt1" 68.373278 63.86806 125.17255839 60.115763 57.725569 65.188847 81.797018 19.64452 29.981601 87.5000895 82.114164 91.440364 105.938464 99.003463 83.449407 95.75342 85.595152 82.68629
"Akt1s1" 34.890333 49.915835 86.105962 62.560086 53.489489 57.697919 75.349473 19.18041 28.3619744 106.76071 78.789948 100.637791 115.821417 103.017181 116.087502 87.528702 77.878322 66.820659
"Akt2" 28.02069 26.4483808 38.858021 23.2541849 22.9031397 22.1112 29.618137 8.94716 13.164616 34.4751764 27.3502922 31.1527501 32.813117 33.0437307 35.0400244 31.278971 31.0499824 28.254233
"Akt3" 17.014068 15.55457 25.53765 11.755022 13.380983 11.48091 8.409933 3.056602 5.58912 7.3653796 7.14299385548 7.63965 6.53374 7.80356 7.437738 9.6771 12.852589 20.41615
"Aktip" 50.0686911 24.89810275 29.149464 36.1146569 34.9983111 41.1604616 50.1342148 19.314783 24.549079 47.4435046 52.4361861 45.9614314 43.6990517 39.9347573 41.0092407 55.7316603 36.6020162 36.7129263
