"";"logFC.6w";"logFC.8w";"logFC.10w";"logFC.12w";"logFC.14w";"logCPM";"LR";"PValue";"FDR";"logFC.WT";"module"
"Ly6d";0,553939139535882;1,68990202589744;5,8292505530555;3,09242650389663;6,87830554469355;5,11925050574811;420,399558711216;1,18796423103461e-88;5,37883804607335e-86;0;1
"Sprr2d";1,82747757810393;3,14120573844055;10,2270674019545;0;12,1058855561674;1,92161125923967;412,891798069939;4,93639719511492e-87;2,17468308865874e-84;0;1
"Sprr2b";0,34600181635784;1,39416417315086;6,05638729578737;1,14842406563582;7,73714364887958;3,12675158968326;402,085408829797;1,05389025470256e-84;4,52063451359258e-82;0;1
"Clec4e";0,146896430912791;3,89123977666351;7,80055518193972;4,65703167775993;8,98080262692444;3,33581777745455;399,246535037416;4,3117765484545e-84;1,80210148050791e-81;0;1
"Cxcl9";2,22326829842324;6,30822975778481;8,87793918670183;6,40936651347937;7,70015954761937;6,4587085866619;397,680922873586;9,3773003435933e-84;3,82124989001427e-81;0;1
"Mfsd2a";0,294502298030724;4,13424792039496;7,36178583610231;4,12237831388952;6,44761392983753;5,12526634842183;393,674413284116;6,84726653586012e-83;2,72220596425658e-80;0;1
"Prss22";3,11344129016092;6,5402659281178;11,7668820882142;7,09269419690351;12,4270786503378;2,64562513705892;390,148694700514;3,93809856155354e-82;1,52835729888863e-79;0;1
"Lcn2";0,20930665294295;1,45347472620698;6,19337625856993;2,67663948472111;6,00653406881876;4,48929197704319;386,125166797563;2,89912004014989e-81;1,09896875940566e-78;0;1
"Cyp2c55";0,142582892191381;-3,17786032618136;-9,03148275012619;-4,44168553927361;-2,38227543122849;6,50446675595491;385,802468894755;3,40249356606154e-81;1,26046920742734e-78;0;3
"Tgtp1";0,599460254091043;6,52363923744403;8,37342146257457;6,89777429168296;6,25905160377652;8,13137825056038;379,90186119168;6,35491780543547e-80;2,3018924495244e-77;0;1
"Igkv12-41";3,23915441412068;7,69938032172062;8,7278246079996;5,47176569342068;5,64699481050705;5,17410559513137;377,425407894421;2,17083567025768e-79;7,69230900547831e-77;0;1
"Stfa2l1";1,82748613486575;1,86061744175237;9,87780186870953;5,08015447237189;12,0820143519415;1,83468909451976;376,278363807751;3,83470600453772e-79;1,32990867816947e-76;0;1
"Gm4951";0,222908906843469;6,04929891230491;7,74221668908352;6,1682110663588;5,09975936014881;5,05294465127078;374,835864675312;7,84292218519136e-79;2,66332565872123e-76;0;1
"Sprr1a";0,488515040139109;4,82777151654576;6,5909967803891;4,18471662977315;7,23552178407205;6,30983987089374;369,377185490146;1,17573555792203e-77;3,91112032533245e-75;0;1
"Il17a";0;4,06298410140484;8,75310308882248;5,58833773533121;12,1831748831464;1,77956415777589;369,180154355421;1,2964289374431e-77;4,22635833606449e-75;0;1
"Slc51b";0,0245211883188871;2,23373699610081;5,52108480117698;3,78661472809046;6,36519537917656;5,69455912073818;351,391753333052;8,77927999160804e-74;2,79927988946345e-71;0;1
"Ly6g2";-0,683023653686433;2,7435250292421;5,56678244666823;3,89447962836966;6,25486733613064;5,71052712155699;351,357368598383;8,93021805227603e-74;2,79927988946345e-71;0;1
"Pla2g2a";0,347025084522671;4,83625166270295;6,58438101328123;5,80448302126399;7,6178640252;8,39562998182391;348,702583181603;3,32988082031917e-73;1,02409542209816e-70;0;1
"Clec7a";-0,0838805715367131;2,03943279191589;4,92724567228725;3,17244132139018;6,2053089007002;6,36185463734678;343,582266455271;4,21415226316445e-72;1,27204966462186e-69;0;1
"Slpi";1,07520876833792;4,40019181883788;5,23948285110105;3,97899659237686;7,55540096786352;8,60173889543271;341,280583101267;1,31874605131447e-71;3,90828375207742e-69;0;1
"Iigp1";0,481304322314264;5,62785109692911;7,52358690814848;5,93762239906624;5,18678714785482;7,92868415968298;334,987634232595;2,98266825900246e-70;8,68169511102503e-68;0;1
"Clec4d";-0,117108364346751;1,75096881652513;5,41713781525673;2,34668858440082;7,03463908393134;3,0092796783068;311,30588936215;3,71161823866685e-65;1,06139258403982e-62;0;1
"Gm15056";-3,33887679141369;2,35527289921693;6,72839229266883;4,77752183892229;8,90169753026151;2,07302625545093;311,071258004261;4,16893209956999e-65;1,17161367625846e-62;0;1
"Gbp10";-0,218367504476644;3,86707947631571;5,94761339443407;3,53922344624052;0,805997742605465;4,03703153300919;307,163695203895;2,88641922066956e-64;7,97434462659555e-62;0;4
"Cstdc5";0;0;8,29419518383551;3,79024168446574;11,2286535898508;0,851589145295148;302,528526786883;2,86439487106195e-63;7,78160606638497e-61;0;1
"Gml2";0;2,66086240464818;10,0101844115915;4,63776845258669;11,1607752635612;1,1741387942546;296,790774502913;4,90432271977743e-62;1,31049934971102e-59;0;1
"Tgtp2";0,202452057635951;4,71502944085794;6,36705258362259;4,94559532833228;3,97865119584636;6,44779619886586;287,707543969759;4,39406911028664e-60;1,15521494351084e-57;0;1
"Igkv6-20";1,41857238564262;1,22142541451906;3,24228253054779;6,53167696701226;3,74666620170257;3,64368053409049;286,54416605948;7,81393851367831e-60;2,02170155195169e-57;0;1
"Tac1";0,450392289099174;0,340354059579954;3,88245421839845;0,831265556274464;4,95198310016003;6,98034036134049;284,92872543262;1,73780542818798e-59;4,42597319991626e-57;0;1
"Trim10";0,590585740001646;3,04162796437971;7,36910596256468;3,90502405537997;7,96897897198664;2,52591334765984;284,54487402957;2,10126760783578e-59;5,2693326165728e-57;0;1
"Prss27";1,41793494703576;3,52276095814158;8,22425943371709;4,00819072030478;7,83537903904677;2,48457033295901;279,366522259018;2,72311590828489e-58;6,72527110682481e-56;0;1
"Ifi47";-0,0749309684391542;4,41945012863121;6,1847916034988;4,73124144043145;5,37840271374493;7,94824905440664;267,874944886666;8,00324988400806e-56;1,94705930013928e-53;0;1
"Socs1";-0,439334494665383;2,24024656757616;5,38388711900448;2,91506149517696;4,26208517785057;5,98235210168872;267,348973112877;1,03802751994735e-55;2,48821302575614e-53;0;1
"Cstdc4";1,08903320980969;2,74463261042197;6,59428155245799;2,87581883241022;8,6056937800167;1,76997362920073;265,79141568992;2,24207563684023e-55;5,29649751891243e-53;0;1
