Symbol
Ap3b1
Ap3d1
Cd1d1
Cd74
Ext1
Flt3
Gba1
H2-Aa
H2-Ab1
H2-D1
H2-DMa
H2-DMb1
H2-DMb2
H2-Eb1
H2-K1
H2-L
H2-Oa
H2-Q1
Ifng
Ighg2a
Ighm
Psap
Psmb8
Psmb9
Rab3b
Rab3c
Rab4a
Rab5b
Rab6a
Rab8b
Rab10
Rab27a
Rab32
Rab33a
Rab34
Rab35
Relb
Unc93b1
Wdfy4
