"";"logFC.W1";"logFC.W2";"logFC.W3";"logFC.W4";"logFC.W5";"logFC.W6";"logFC.W7";"logCPM";"LR";"PValue";"FDR";"logFC.W0";"module"
"Gm9973";0,0862618845300839;0,373634030551352;0,441304087727388;0,930809867719741;1,23198274663874;1,16250957125641;1,18360589234541;4,59854761448994;57,0386890510595;5,87273534551685e-10;3,68293359003653e-09;0;2
"Tet1";-0,327680501890314;-0,438458958659037;-0,608624187226245;-2,15154522147597;-2,44194357737152;-2,42416746130463;-2,91436982496665;0,0707064905478897;57,0115785136863;5,94606421784894e-10;3,72743307946655e-09;0;6
"Hadh";-0,158324010062572;-0,204856569697015;-0,259807119387351;-0,468808169811581;-0,866510378366506;-1,24798086216305;-1,36341787170201;8,13463013025705;57,0079821444498;5,95586002084774e-10;3,73148045576476e-09;0;7
"Klrb1b";1,4374565564526;3,07642357560415;2,37961843971796;3,4191373159404;3,6898654367903;3,5839355657112;4,11254930709183;-0,215256237022712;57,0074659004014;5,95726748757762e-10;3,73148045576476e-09;0;2
"Myocd";0,106181682165947;-0,142654001409679;-0,293310561190536;-0,990764563832171;-0,652512807629068;-1,61520326088452;-2,25734557277964;2,1558242499583;56,9732047569356;6,05142045593812e-10;3,78894593421979e-09;0;7
"Spink4";0,440763349882647;0,392789830070309;1,29960119220059;0,883618425379365;1,61819038440102;1,0683061716435;0,914454231466741;8,99611760314518;56,9547796529564;6,10266614444216e-10;3,81951103196336e-09;0;1
"Agtr1a";-0,323770563501066;-0,379844976020449;-0,568167376753992;-1,32413605139529;-1,57515316970349;-2,16525944049536;-2,60982241438831;1,3648863220153;56,9439899993201;6,13287592362054e-10;3,8368911767275e-09;0;7
"Gadd45b";-0,453739139180826;0,474722615912578;0,555868877473606;0,76861757574883;0,789947759226707;1,25781778089928;1,07772125839922;4,13070056808526;56,9412219452823;6,14065014613585e-10;3,84022679385632e-09;0;2
"Prcp";-0,0917010585430173;-0,257645512551235;-0,56351905638648;-0,779021655528667;-0,927255501264821;-1,12861525034174;-1,22382306779866;5,31962283623152;56,929649510378;6,17325842650956e-10;3,85908425374089e-09;0;6
"Tmem130";0,18644312380071;-0,522356163722827;-1,00375110674127;-1,3781290294461;-2,05293433017536;-2,04430510425141;-3,03502074317834;0,3658108540182;56,921957934458;6,19502680450205e-10;3,8710509192023e-09;0;6
"Ell2";0,0287634121744828;0,22979482736405;0,347257333209344;0,848232694356317;1,13734184700471;0,818401767717104;1,1041321207974;5,44348621701495;56,9211472900362;6,19732550797112e-10;3,8710509192023e-09;0;2
"Sirpb1a";0,38950132094005;0,105623090388337;0,799665160179863;2,47822186221976;3,05032511529741;2,799122182531;2,81882460162227;-0,87270696650194;56,9189299086022;6,20361756804176e-10;3,87344223211884e-09;0;2
"Slit1";0,329046845405874;-0,296964588304029;0,0837136256643924;-1,83449619816551;-4,34844380924366;-4,6147017751293;-2,05459734601337;-1,45052682425442;56,9093052464288;6,23100246193305e-10;3,88899645520093e-09;0;6
"Serpinb5";0,406550133390862;0,113797102731748;-0,0210185161035463;0,465116738209792;1,12442453707771;0,76443644612751;1,02640590030786;6,45096982336538;56,8864404676608;6,29654326222239e-10;3,92834337970875e-09;0;3
"Ect2";0,440708349252281;1,2532829258637;1,26607278875021;1,13420733018638;1,15027740102612;1,33853307989309;1,30987213263493;5,70146613269136;56,869040686004;6,34687884982328e-10;3,95817648857285e-09;0;1
"Gpr137b";0,3088156099422;0,0477308769737242;-0,295967729852196;0,113124403343292;0,947142767015534;0,681290038619285;0,905997676141014;5,65708365979205;56,8477093520432;6,40913544659764e-10;3,99541742630484e-09;0;3
"Pstpip2";0,141380166834506;-0,00451788959536966;0,454784243604565;0,780712741034572;1,52955165537239;1,72964619395956;2,14703604292569;1,46188315490542;56,8363332735198;6,44258555716821e-10;4,01467816606415e-09;0;3
"Ier5";0,1875356465802;0,437131080596369;0,635272950193067;0,828792196540994;1,11953872062815;1,13499746228381;1,25228292287519;5,75220007303916;56,7915522802279;6,57595810534234e-10;4,09616534596641e-09;0;2
"Ngfr";0,0988054693991283;0,125593078647793;0,151448243520446;-0,229510809408314;-1,59671641729675;-1,41414064231986;-2,10457191168378;1,6126555808248;56,7725146427658;6,63348867427615e-10;4,13036471037504e-09;0;7
"Dipk1a";-0,0347769401047596;1,06214087705953;1,16365173277487;1,44472739055417;1,21989822780435;1,00024601653795;0,592185446993133;4,13746168992653;56,7437595597858;6,72133710131512e-10;4,18340704302756e-09;0;1
"Trbv14";1,87587065403887;5,60519035146564;5,19081757200194;6,47906845068609;6,91093515927421;5,93430655557842;5,47517375024184;-1,77294383241892;56,7217393160322;6,78939324115595e-10;4,22409341264162e-09;0;1
"Tmem38a";-0,0669708711221228;-0,516369378022872;-0,587065549571893;-0,801554346175253;-1,17207834182244;-1,68419996560231;-2,07087959519678;2,59519970243743;56,6868765706815;6,89854759442962e-10;4,29030717087114e-09;0;7
"Snrnp200";-0,0623266181495051;0,0207892955826344;-0,332389434464217;-1,09498118274873;-1,06731635433826;-0,783758187172999;-0,479105197367852;5,94757060266881;56,6565057122162;6,99506227791597e-10;4,3486108791378e-09;0;6
"Mst1r";0,200130022529644;0,373344606993992;0,409817741342762;0,335473409589136;0,894384781546526;0,79169490723516;1,39288424654715;5,43498438184104;56,6545151810643;7,00143471291152e-10;4,35085203780217e-09;0;3
"Il12b";0,272655960618236;0,844285734553328;2,57337347227722;3,73928016027814;2,42478083551909;3,02543430673198;3,11077797245347;-0,817099602863162;56,6528769302968;7,00668370634349e-10;4,35239356898982e-09;0;2
"Dmd";0,129972798016129;0,0145493768109886;0,0162485254603792;-0,570018017998531;-0,736439555866432;-1,17610343250114;-1,11904180504635;4,26464157303656;56,6218442744829;7,10685707655407e-10;4,41287547225841e-09;0;7
"H2-Q4";0,0332020772048285;1,002668822497;0,868061784219063;1,15284333769549;1,20415956440029;1,29814678069897;1,16866738802315;7,86269935887366;56,6095268532532;7,14701221988497e-10;4,43605709123693e-09;0;2
"Acp6";-0,205766848455081;-0,327302814464301;-0,60116924460518;-0,791282035145977;-1,043403420675;-1,22156099372731;-1,2678406096039;5,02296179666441;56,6015246163646;7,17322081762361e-10;4,45056739126592e-09;0;6
"Rap1b";0,143070186511216;0,166514247824378;0,276642984749819;0,833089780544034;1,39882091551486;0,748931242367556;0,909513961892034;7,89516983456469;56,5949009354549;7,19498685749158e-10;4,46231098120247e-09;0;2
"Krt7";0,0353363606399614;-0,140319176489679;-0,105304181780417;0,014556240318577;0,921490172652732;0,799032948602918;0,888725916789393;7,45477085694656;56,5779899595375;7,25085691004237e-10;4,49518818374157e-09;0;3
"Nmi";0,026020456593375;0,621487628086824;0,553663317660185;1,2502105223976;1,10393798473527;0,950325876568918;0,516405767945342;5,71674917118121;56,5721679366986;7,27019143294667e-10;4,50539809652296e-09;0;1
"Sphkap";0,431494742370319;-0,850559719109217;-0,404391984217547;-2,44740314014217;-2,04167430389181;-2,11429326055272;-3,40828917928122;-0,639800446954215;56,5684386599677;7,28260308114323e-10;4,51131149100606e-09;0;6
"Kif11";0,477731020872232;1,41091679572861;1,31712561725668;1,15081177520053;0,998050833851445;1,58045461133801;1,51050042631875;4,32465529887179;56,5555785307331;7,32556589408915e-10;4,53613812472901e-09;0;1
"Tomm5";0,011702877718901;-0,247142929728926;-0,00023564100801285;0,595216993398336;1,11181720870286;0,443328507767435;0,239208614290844;6,23879473328909;56,535608528633;7,39278236477781e-10;4,57595765114318e-09;0;2
"Gad1-ps";0;4,6063618295063;5,58711109736613;5,72957908254996;5,79301941573882;6,56596940670614;6,08084776614511;-1,84398126019763;56,5023589503735;7,50606245022534e-10;4,64424690446449e-09;0;2
"Shmt2";0,196050605028834;0,466290599110219;0,693372490289127;0,938057131001188;0,679594851062644;1,36724853895159;1,12989570643512;5,62430366941238;56,4930121148721;7,53821710434093e-10;4,66230721142597e-09;0;2
"Col4a5";-0,0152739000855736;-0,612375974591024;-0,611079069162515;-0,946729876008788;-1,50782687711786;-1,36830149102782;-2,09867404846519;2,51875363902721;56,4605803366473;7,65085594175207e-10;4,73011235219135e-09;0;7
"Muc20";0,524966851749738;0,958476291055178;1,62629371993833;1,5278764664968;1,95517900463384;2,21526877294808;2,45541179066;1,82854485389672;56,381979906248;7,93085004618414e-10;4,90129026832182e-09;0;2
"Cabcoco1";-0,0488611589603865;-0,374430809347032;-0,610897421226566;-1,31607132066924;-1,04709402397219;-1,76045859833969;-2,62309681061167;1,68349253523375;56,3593984599135;8,01316262435807e-10;4,95021386169578e-09;0;7
"Rhoh";0,765027652517022;1,71432264734979;2,08038708210226;2,73370560598073;2,45462213687222;2,79063423546686;2,65940182016214;1,21756546704799;56,3227420804871;8,14859677011898e-10;5,03190253023608e-09;0;2
"Tob2";-0,0479257824505361;-0,152701915256291;-0,373131788509084;-0,871429940401982;-1,20132475579978;-0,888660835310264;-0,938905867681888;5,34192894947079;56,2905349678687;8,26947338235814e-10;5,10454104897662e-09;0;6
"Ufm1";0,0839105906439341;0,00847860613104715;0,261467129604682;0,656952731943271;1,07233468961792;0,861204589164202;1,00106289072768;6,64753180567655;56,2750985806899;8,32803951500127e-10;5,13867493150903e-09;0;2
"Slc22a23";-0,0934258208532662;-0,359331787393863;-0,615773635595241;-1,25163400498092;-1,01435117478388;-0,960062401629638;-0,725090675495433;6,35713486682996;56,2596693764588;8,38699142070951e-10;5,17301997318144e-09;0;6
"Nat8f7";0,859726597188906;0,281643812215006;0,219906260552102;-2,5759737495859;-1,02924492923755;-0,911758623235183;0,452161077621187;0,921153829402364;56,2441299594336;8,44678473194921e-10;5,20785684532178e-09;0;6
"Psma3";0,14336784842299;0,348298999909608;0,46619380650357;1,01334709378244;1,26373928781657;0,916006424272493;0,941594177970854;6,57283545066521;56,2373271601889;8,47309437427136e-10;5,22203017453133e-09;0;2
"Crim1";-0,0604486685116531;-0,0585600978785641;-0,420179263513737;-0,979454613092698;-0,968797805342593;-1,04257395931542;-0,767066310154556;5,78121630087904;56,2200216790814;8,54039152932592e-10;5,26144340219679e-09;0;6
"Prkar1b";0,130692313133916;-0,289144376345264;-0,215044389135375;-1,06389482936257;-1,30527054924445;-1,4133999273573;-1,78271938094594;2,49783498213738;56,1793031400168;8,70084526333592e-10;5,35819385938767e-09;0;6
"Map1lc3a";-0,0758997550801343;-0,389449325115495;-0,355968228721154;-0,677326096711669;-0,609533732580166;-1,10831811817416;-1,33649068163902;5,66589267733942;56,1492264607397;8,82128980653896e-10;5,43023955906051e-09;0;7
"Tmem72";0,52982495659434;0,126564698907811;0,349185274966143;0,765820660972932;1,06583526703098;0,765653521766764;1,49096274676582;4,54721859983145;56,1472362366247;8,82931817850471e-10;5,43305441888262e-09;0;3
"Mamld1";0,243786831878053;-0,544843583534101;-0,902984331482283;-1,40178611268939;-2,59724817292255;-2,05561630067398;-2,16639616526332;0,53478627926206;56,1346108899012;8,88041747752284e-10;5,46236007752794e-09;0;6
"Dkk3";0,0297313973878454;-0,167027796619343;-0,112530617540273;-0,362611541998495;-0,664856486547506;-1,00467602728642;-1,4669921226633;4,44462547572736;56,1255012842614;8,91747023810916e-10;5,48300614327541e-09;0;7
"Igf2r";0,1710508815009;-0,0379477700159597;0,153609364732914;-1,00387723519855;-0,702210329053825;-0,634168284164607;-0,646111341877697;5,90524948917746;56,100719556105;9,01904982446959e-10;5,5432955957901e-09;0;6
"Abcc4";-0,0879661733674201;0,10845296723742;-0,0790169220031877;0,255839865720239;0,743889398655977;0,614360065094528;1,17500698995223;5,05850420538296;56,0975491713313;9,03212805447237e-10;5,54916441080166e-09;0;3
"C2cd4b";0,113409210449583;-0,160178000991998;-0,170883971688693;-1,00338137855768;0,786400910063759;0,575359148917182;1,94356494107765;1,06946018409015;56,0947743893372;9,04358988049044e-10;5,55403594144807e-09;0;3
"Rhbg";0,068066616906462;1,39382767526356;1,50821578464766;2,18686559156303;1,3970363748002;1,41681423421321;1,15653562586997;2,53450959705024;56,0932128602186;9,05004648009892e-10;5,55583095510016e-09;0;1
"Spc25";0,289672559205408;1,06275681420948;0,992330417944517;1,35947491533489;1,55908572431658;1,47757320792165;1,16849087402321;4,16769602857348;56,0885447424532;9,0693755843567e-10;5,5655239241708e-09;0;1
"Slc9a4";-0,341952090022502;0,199622250074595;0,274469438576477;0,98129261840341;2,78386470470577;2,78794989849658;2,75606496680274;-1,34017294710427;56,0729656793086;9,1341814656286e-10;5,60310577458497e-09;0;3
"Oplah";-0,2969176967239;-0,490024075848315;-0,469005320308427;-0,876506620314331;-1,07686838058014;-1,13419932415035;-1,40640860719918;4,95665892413031;56,0585515885775;9,19455217699686e-10;5,63793874129269e-09;0;6
"Psg17";-0,14502168685251;-0,395018972044136;-1,38740429516773;-2,52834587261618;-2,50170614844192;-3,47355271429604;-2,71167170004604;-0,72476061260729;56,0568777125921;9,20158860902808e-10;5,6400536495571e-09;0;6
"Tcirg1";-0,108396348786791;0,484839733391239;0,526322694013814;1,14469157410736;0,805515234566354;1,20860047906175;1,08894266614958;4,61067208039842;56,0336505074729;9,29978388818835e-10;5,69802035425165e-09;0;2
"Prr13";0,188755701610496;0,352758429756293;0,517288015751865;0,81934011844382;1,25857630775235;1,21009486945511;1,28664926991247;8,43882581700795;56,0125501758304;9,38989242374188e-10;5,75098904114024e-09;0;2
"Gm9864";-0,221119545616322;-0,288182995586295;-0,0146265519447559;0,768671432385044;0,619044024537107;0,801327068958518;1,22043368585484;3,80401824684541;55,9900414719923;9,48697459935707e-10;5,80818592878083e-09;0;3
"Anln";0,634623291495806;1,37632720732908;1,24173625742025;1,2622690208164;1,31605190718033;1,5643048749554;1,52292173714932;4,68235641847918;55,9630632673017;9,60465280388531e-10;5,87794283311346e-09;0;1
"Ceacam18";-0,0519978163728031;-0,315401891487798;-0,8430184592851;-1,27117282696113;-1,21375704212636;-1,64446963517234;-0,823974806191882;3,44670854200158;55,9539452698611;9,64475323278431e-10;5,90018717221147e-09;0;6
"Meis2";0,136118579728159;-0,211132395830086;-0,232840958657274;-0,649372105758524;-0,718125557811238;-1,39436584193257;-2,12422663925498;2,5667152404534;55,9447881320132;9,68519370308752e-10;5,92262214702225e-09;0;7
"Prpf8";-0,0150112044169005;-0,104932142166476;-0,34982537034428;-1,10402317751342;-1,20850304409629;-0,821337751846288;-0,566907742690238;7,25127388665289;55,9116917430165;9,83277060849796e-10;6,01052952981357e-09;0;6
"Ranbp1";0,0919922329995617;0,344775505170662;0,480276626456734;0,982489841087045;1,10288741158273;1,14619645979948;0,912763356877783;5,74668140108333;55,9066839325317;9,85529478187565e-10;6,02195664829572e-09;0;2
"Gpat3";0,254974406451792;-0,49288637206753;-0,66968094125385;0,0844834251956354;1,29443160567847;0,736331523194988;1,24850314429578;2,31137622580363;55,8965159504712;9,90118671657644e-10;6,04635648631677e-09;0;3
"Gpc6";-0,0637296947260305;-0,772999774488218;-0,386221449073632;-1,55995477146079;-1,72757121634672;-2,13201565099363;-2,5750892315538;0,968119157182865;55,8953730536963;9,90635833456565e-10;6,04635648631677e-09;0;6
"Tpcn1";-0,148299561795355;-0,233758681205597;-0,59452057406084;-1,09143585174488;-1,15512109594516;-1,16440161774455;-0,862945139946486;7,47372784896681;55,8952834365134;9,9067639668948e-10;6,04635648631677e-09;0;6
"Ets1";0,0198720881413695;0,35583272025592;0,531959136796051;0,946303250677975;0,63088169934718;1,0717542261265;1,34192401522723;4,76088323224204;55,8762138548029;9,99345574051093e-10;6,09495766141843e-09;0;2
"Socs2";0,156768362133186;-0,112144240113041;-0,698613254185632;-1,17217574259085;-1,05760962744776;-0,857313653429159;-0,931930591685285;4,2227381812653;55,8760620526604;9,99414886855153e-10;6,09495766141843e-09;0;6
"Cd101";-0,167802057549692;0,246519115093413;0,397204182509556;1,61297614669835;2,0232705031171;2,21567323422801;2,39162060522887;0,292006905684151;55,8716832435073;1,00141631288043e-09;6,10479537460495e-09;0;2
"Sfrp5";-0,0364862677562489;-0,508362128073584;-0,321964149426547;-1,05426320346929;-1,60462598073508;-1,87502482615079;-3,13089211600504;0,824444900130038;55,8673868284312;1,00338396067837e-09;6,11441962394782e-09;0;7
"Prkcz";-0,252752941895299;-0,35400389532314;-0,493078424779539;-0,965462445719912;-1,03284426378938;-1,10690539423889;-1,1912712790434;5,68489332321594;55,8486186500848;1,01202457403228e-09;6,16468436766197e-09;0;6
"Sppl2a";0,180832350328122;0,619151183613852;0,566085385661302;0,761407419846964;1,32707016816961;1,12106110812754;1,35051890588123;8,05647268397708;55,8109613517459;1,02958574160066e-09;6,26922812914234e-09;0;2
"Jmjd6";0,23099645989012;0,112409314938952;0,480428286417894;0,93056495804258;1,01132777674535;1,22268715356209;1,2847123989103;4,38976923321848;55,784783899877;1,04197196039085e-09;6,34219247435733e-09;0;2
"Apol11a";-0,716732847453193;3,17454883222071;3,20665226168581;4,57137053665012;4,07978752787687;4,07484757564214;2,94601419620304;-1,41754873228383;55,7708957067647;1,04860351699358e-09;6,38008687854993e-09;0;1
"Gm5108";1,87277332693549;2,34860375031874;2,08557303900634;3,47199465859009;3,54870944307276;4,41581251549747;4,83565176443752;-1,38696846667665;55,7657340660901;1,05107888497418e-09;6,39267397662053e-09;0;2
"Hnf1b";0,015375945793316;-0,167713884986798;-0,51362967158535;-1,08796005368042;-1,05634205641023;-0,969128529013243;-0,799805007238071;5,07871183761419;55,7404542245689;1,06328668505464e-09;6,46442121516976e-09;0;6
"Mxra7";-0,28032921347455;-0,516764579276576;-0,505829281688167;-0,620222321332586;-0,845727864422952;-1,38852767674951;-2,25755459294792;2,93500934123694;55,7279543692202;1,06937504332672e-09;6,49892324359595e-09;0;7
"Psmb2";0,171616668167813;0,480875891424277;0,665314667103321;1,12515686879743;1,24894291959551;1,07733673427315;1,05354771135238;6,91106596593177;55,7178176401833;1,07433788108348e-09;6,52656111529926e-09;0;2
"Tarm1";1,68486741142201;1,81014218816555;2,53594891143716;1,54325868832974;3,63631002890742;3,61240888148143;3,97527233848764;-0,756487407061394;55,7149649324429;1,0757386707305e-09;6,53254669031476e-09;0;2
"Bco2";0,157767128365714;-0,0187184448798934;-0,550908504818028;-2,20899583281804;-1,49386564888094;-1,70549839585488;-1,7586597411316;1,19546213870592;55,704668731019;1,08080965823119e-09;6,56080673618175e-09;0;6
"Cebpb";0,0141870785218379;0,476626069696784;0,526777354987736;0,932912845744115;1,2006918817162;1,01852576809278;1,36845027203919;4,36053848522222;55,7014880632396;1,08238098084119e-09;6,56780925541688e-09;0;2
"Ehbp1l1";0,0672427041079766;0,104988217719445;0,219760049032053;0,385627991942156;0,844254296141921;0,919236690686257;1,12597256877802;6,33631088474313;55,6818577540739;1,09212930423731e-09;6,62440467639619e-09;0;3
"Ccn2";-0,284321097945343;0,163950189768932;-0,0954202166382622;1,27834961745358;-0,50940359050177;-0,179667755104305;-0,236213119994639;3,3260188390269;55,6252256980511;1,12074551275623e-09;6,79535709662683e-09;0;5
"Rp2";-0,0141642468546333;0,106697349448;0,24527822664763;0,483452182500824;1,00598145922669;0,642174379862823;1,11312605976078;5,90824820532568;55,5256927190635;1,17286171940266e-09;7,10860907958698e-09;0;3
"Jak2";0,143541062597059;0,199296330889269;0,371595778999677;0,498821542610004;0,783574012225941;1,01024837242448;1,23263269544418;6,43625826675994;55,408751090684;1,23718612669057e-09;7,49558392440431e-09;0;3
"Arl2bp";-0,0917828172346499;1,22433928729604;0,134255971639685;0,615949296948886;1,02278219594694;1,19099456338432;1,19558272062961;3,83391416847266;55,3644701089605;1,26245033277777e-09;7,64570267023579e-09;0;2
"Bmp2";0,0171201078947005;0,493888664511707;0,612885059858397;-0,0757456837726434;-0,335457893021405;-0,703177232967306;-0,450947471475591;6,62482759697654;55,3561630992599;1,26724678569636e-09;7,67179590478172e-09;0;7
"Flt4";-0,286567343909184;-0,223120016886771;-0,39888158073951;-0,686752877540202;-1,61622718238718;-1,25921581396522;-1,08990361670508;3,88652880998976;55,3451098763064;1,27365706189791e-09;7,70763522985334e-09;0;6
"Spata13";-0,117354208099768;0,124008595099997;-0,069636113902356;-0,588984831051699;-1,03812441900803;-0,887818555953707;-0,766926223505645;6,03752105128143;55,3052123151034;1,29706546146888e-09;7,84627286849317e-09;0;6
"Lgals3bp";-0,46495969381255;1,23693300941894;0,669535848344535;0,773171015979433;0,648487200178826;0,77969137056307;0,626082717514584;8,32909539602573;55,2982730736234;1,30118034156009e-09;7,86813743461833e-09;0;1
"Fbxw17";-0,0613765041763435;1,12939318623951;0,980622895512967;1,63596213684044;1,51997050324068;1,39500786761051;1,08317413334643;3,25953119270387;55,2964583360094;1,30225860125502e-09;7,87163003803593e-09;0;1
"Trim30b";0,25749349181869;0,415261510602126;-0,62154166559967;2,4653295272424;2,7153696399278;1,40264786520914;3,2101236490228;-1,49735805243509;55,2888709787733;1,30677641974381e-09;7,89590271760651e-09;0;3
"Rbp1";-0,106005341570739;0,377004285595833;0,452615418156086;0,897128727162702;1,58378157443585;1,53914500722106;1,02466138887305;2,93361853855615;55,2443152811136;1,33362355644371e-09;8,05502480000305e-09;0;2
"Med13l";0,0643499924206646;-0,367167044087712;-0,701467500343305;-1,30574448828011;-1,15675741531541;-0,860707918119526;-0,540746849735882;4,56551404162233;55,241086463553;1,33559030814208e-09;8,0638060002342e-09;0;6
"A4gnt";0,263402396242928;-0,00137515947204996;0,701463581726865;-0,402454219272947;-0,662071424296663;-0,22376556212803;-1,17444552392778;3,81815247337923;55,1942881181188;1,364422957673e-09;8,23472466047403e-09;0;7
"Entpd5";-0,317949247483746;-0,258154952124924;-0,593243838310527;-0,887223579413038;-1,06812460343273;-1,26225692237247;-1,16974068541117;7,29425274644835;55,1910736797269;1,36642599617919e-09;8,24364908362597e-09;0;6
"Reln";-0,147552804315276;-0,522923289751003;-0,692828345984026;-1,43337515204568;-1,69679563299127;-1,65912327854564;-1,59063282417744;2,48665663244722;55,1884847686223;1,36804137477743e-09;8,25022880485263e-09;0;6
"Crtc1";-0,111051676969142;-0,272047074130732;-0,541808995314029;-1,25480122862221;-1,4641665356785;-1,07539238672776;-1,00534424181969;3,87899878016155;55,1621517005504;1,38458066416147e-09;8,34677039951943e-09;0;6
"Ephx4";-0,198555058375467;0,0626338433362184;0,0732352363068762;-0,354239567338735;-0,865497259401098;-1,97887360002434;-1,77280049350918;2,14894675153392;55,1586834165123;1,38677382200265e-09;8,35678728613479e-09;0;7
"Ino80c";0,144583731114094;0,24120605414779;0,276698183597392;0,69622280989568;1,16323951513838;1,04783186130625;1,07745303163848;5,03301641566898;55,1537838488827;1,38987794702447e-09;8,37228393989222e-09;0;2
"Cmtm5";0,244313888993496;0,0252444192638255;-0,292169389689296;-1,40991965426631;-2,68653198687194;-3,0087521460056;-3,07087027259924;-0,773855010964789;55,0541971050843;1,45449325408141e-09;8,75815509025964e-09;0;7
"9130008F23Rik";0,571040714630401;0,699134892162478;1,21314038114393;1,31519822511443;2,04043749174696;1,86470952865673;2,05157443176876;2,34396890639984;55,0470549294014;1,45924073937583e-09;8,7833778347882e-09;0;2
"Neu2";-0,455246340965303;-0,875292876865633;-1,3912826320599;-1,75070768774094;-3,51243481168302;-2,20356676743349;-2,68447473394263;0,0577455889339384;55,0340154377013;1,46794809669761e-09;8,83240718571749e-09;0;6
"Cd276";-0,147430169007614;0,81178560444496;0,826836374110833;1,09705151054422;0,93437335777073;1,37482363181787;1,31163878975747;4,03706882237926;55,0228754226798;1,4754280357031e-09;8,87401667074376e-09;0;2
"Gsta4";-0,094971292134695;-0,117015395342575;-0,0925075315415023;0,23917173269515;0,813224793126231;0,485221246920995;1,04828633684574;7,12714425828734;55,0104482655251;1,48381704037486e-09;8,9210598503914e-09;0;3
"Gm15280";-0,10629364300661;0,485518845686351;0,543973963513564;1,29035013146821;0,941525417048577;0,964362686316731;1,87181596956949;2,74840581759176;55,0007883914294;1,4903707921889e-09;8,95703730687842e-09;0;2
"Plce1";0,149814684312573;-0,160166935350439;-0,335742098047416;-0,875527289229415;-0,920677250811232;-1,01978655256965;-0,583494659141678;5,90052336422261;54,995944068585;1,49366827819013e-09;8,97342478781246e-09;0;6
"Rad51";0,357335925201221;0,962203443992388;0,941873994406202;1,30322124577125;1,46059454108306;1,58160081014705;1,35245069301165;4,10431473737244;54,9829015677906;1,50258236314277e-09;9,02352937865951e-09;0;2
"C9orf72";0,32271252866637;0,428419388344999;0,598594952154231;1,05742056065463;1,578965908095;1,30269507269136;1,28296102806194;3,84523747773072;54,9632083494947;1,51614251069946e-09;9,10148627461508e-09;0;2
"Klf15";-0,146481546164094;-0,50832458284318;-1,18030983090023;-1,33143671780295;-2,58863340119571;-2,07928681421354;-2,73041057955036;0,468319249103665;54,9596483918581;1,51860676873656e-09;9,11279985422755e-09;0;6
"Epsti1";0,063249417429785;0,94234917332308;0,918633491397281;1,27009111453235;1,1027993377342;0,954854330782001;0,756311282493445;5,82376110407823;54,9386779882716;1,53320400915717e-09;9,19688417854599e-09;0;1
"Slc15a1";-0,214148945524745;-0,307546973510627;-0,642240006176133;-1,07987059517456;-0,953824910936402;-1,13965355135028;-1,25884342878374;7,62699971317819;54,9288010076382;1,54012759871555e-09;9,23489172654689e-09;0;6
"Cdx2";0,0370922293975223;-0,107143148467472;-0,198680846954491;-1,23924592592899;-0,348055263316889;0,464434464206744;0,0401069364527251;5,3248747438445;54,8927029842479;1,56569768911341e-09;9,38463555785016e-09;0;4
"Gemin6";0,129333366240347;0,616184963928712;0,844533329680336;1,42846834882545;1,65142657397861;1,5102401812737;1,12239157775862;3,2717027161167;54,8862871848759;1,57028639697537e-09;9,40855287090197e-09;0;2
"Sstr2";0,405168172715189;-0,461441813512939;-1,08952008756054;-1,454002959646;-2,26848143825707;-2,33192459644293;-3,02948380233876;-0,282258037284619;54,8481050443506;1,59787350445422e-09;9,57019704267781e-09;0;6
"Map4k1";-0,103096195502645;0,269632343694557;0,850447609366094;1,53706621521902;1,17263841104065;1,86513875527689;1,8530669051284;1,8777314516647;54,8090840971582;1,6265655841327e-09;9,73833363051572e-09;0;2
"Spon2";-0,167184924837687;-0,398694088125798;-0,48238788148013;-1,01061350474962;-1,15979479288552;-0,864925996132967;-1,79425818595869;3,68917961822917;54,7774184026034;1,65022619218382e-09;9,87622999372439e-09;0;7
"Myh2";-0,769116522611442;0,0475974592334649;0,6410591650931;-0,356510543508775;-0,890926685320232;-1,93113758023414;-5,23349767252136;-0,323683081233273;54,7749066065958;1,65211761945468e-09;9,88378737179087e-09;0;7
"Nusap1";0,377191863989009;1,39918127686663;1,30448949433787;1,17114933111963;0,850623273394277;1,15595056255893;0,946064677577369;5,2846282982793;54,769379266289;1,65628741476829e-09;9,90496414415636e-09;0;1
"Ccdc107";-0,118977804646224;-0,470881872146762;-0,554490938713419;-0,646965681209542;-0,465491297231474;-1,1792200487803;-1,38229164285167;5,2701676831863;54,7493423184575;1,67149126841601e-09;9,99208582586937e-09;0;7
"Cdcp1";-0,0233020568906614;0,220116471683172;0,278217048290559;0,249766600436089;0,765836035209497;0,780120956491567;1,19661131015098;6,44133754828773;54,7415082739377;1,67747340875895e-09;1,0024035322124e-08;0;3
"Gbe1";0,26611643607371;-0,337195367885216;-0,623487913419755;-0,658497006496694;-1,0273680654403;-1,13684468396866;-1,24992094102806;3,85607591398873;54,6567103414459;1,74360679853102e-09;1,04152682699486e-08;0;6
"Armh4";0,00872589140445355;-0,330338674934587;-0,9365903670189;-1,47006984096959;-1,58168013022772;-2,09198083187277;-2,77845966134707;0,805995704173867;54,646444466459;1,75178735179624e-09;1,04601597967871e-08;0;6
"Cd300lb";-0,0714587971042769;0,725707077837982;1,39270368159273;2,06748805614762;1,66475648719655;2,82474062167579;2,02866870159141;0,50454338639694;54,6036638806118;1,786291573916e-09;1,06621397589625e-08;0;2
