"";"gene"
"228";"2810039B14Rik"
"229";"2810047C21Rik1"
"230";"2810408A11Rik"
"231";"2810459M11Rik"
"232";"2900026A02Rik"
"233";"2900092C05Rik"
"234";"3000002C10Rik"
"235";"3110001I22Rik"
"236";"3110009E18Rik"
"237";"3110021N24Rik"
"238";"3110040N11Rik"
"239";"3110053B16Rik"
"240";"3110067C02Rik"
"241";"3110082I17Rik"
"242";"3110082J24Rik"
"243";"3300002I08Rik"
"244";"3425401B19Rik"
"245";"3830403N18Rik"
"246";"3830406C13Rik"
"247";"3830417A13Rik"
"248";"4430402I18Rik"
"249";"4632415L05Rik"
"250";"4833418N17Rik"
"251";"4833420G17Rik"
"252";"4833427G06Rik"
"253";"4833439L19Rik"
"254";"4921504E06Rik"
"255";"4921507P07Rik"
"256";"4921509C19Rik"
"257";"4921511C20Rik"
"258";"4921517D22Rik"
"259";"4921524J17Rik"
"260";"4921524L21Rik"
"261";"4921536K21Rik"
"262";"4921539E11Rik"
"263";"4930402F06Rik"
"264";"4930402H24Rik"
"265";"4930402K13Rik"
"266";"4930404H24Rik"
"267";"4930404N11Rik"
"268";"4930407I10Rik"
"269";"4930412O13Rik"
"270";"4930415H17Rik"
"271";"4930415L06Rik"
"272";"4930415O20Rik"
"273";"4930421P07Rik"
"274";"4930430F08Rik"
"275";"4930432E11Rik"
"276";"4930432K21Rik"
"277";"4930432M17Rik"
"278";"4930433I11Rik"
"279";"4930438A08Rik"
"280";"4930444G20Rik"
"281";"4930444P10Rik"
"282";"4930447A16Rik"
"283";"4930447C04Rik"
"284";"4930447F04Rik"
"285";"4930448K20Rik"
"286";"4930449A18Rik"
"287";"4930449I24Rik"
"288";"4930451G09Rik"
"289";"4930451I11Rik"
"290";"4930452B06Rik"
"291";"4930453N24Rik"
"292";"4930455H04Rik"
"293";"4930465K10Rik"
"294";"4930467E23Rik"
"295";"4930470P17Rik"
"296";"4930474N05Rik"
"297";"4930480E11Rik"
"298";"4930486L24Rik"
"299";"4930488N24Rik"
"300";"4930503B20Rik"
"301";"4930503E14Rik"
"302";"4930503H13Rik"
"303";"4930503L19Rik"
"304";"4930505A04Rik"
"305";"4930512M02Rik"
"306";"4930513O06Rik"
"307";"4930515G13Rik"
"308";"4930516K23Rik"
"309";"4930519F09Rik"
"310";"4930519F16Rik"
"311";"4930519G04Rik"
"312";"4930522H14Rik"
"313";"4930522L14Rik"
"314";"4930523C07Rik"
"315";"4930524B15Rik"
"316";"4930526A20Rik"
"317";"4930529C04Rik"
"318";"4930544D05Rik"
"319";"4930544G11Rik"
"320";"4930548H24Rik"
"321";"4930550C14Rik"
"322";"4930550L24Rik"
"323";"4930555G01Rik"
"324";"4930555K19Rik"
"325";"4930556J24Rik"
"326";"4930558K02Rik"
"327";"4930562C15Rik"
"328";"4930563M21Rik"
"329";"4930564D02Rik"
"330";"4930568D16Rik"
"331";"4930572O03Rik"
"332";"4930578G10Rik"
"333";"4930578I06Rik"
"334";"4930579F01Rik"
"335";"4930579G24Rik"
"336";"4930583I09Rik"
"337";"4930590J08Rik"
"338";"4930595D18Rik"
"339";"4930595M18Rik"
"340";"4930596D02Rik"
"341";"4931400O07Rik"
"342";"4931406B18Rik"
"343";"4931406C07Rik"
"344";"4931406P16Rik"
"345";"4931408C20Rik"
"346";"4931414P19Rik"
"347";"4931417E11Rik"
"348";"4931422A03Rik"
"349";"4931428F04Rik"
"350";"4931428L18Rik"
"351";"4931429L15Rik"
"352";"4931440P22Rik"
"353";"4932411N23Rik"
"354";"4932414N04Rik"
"355";"4932415D10Rik"
"356";"4932429P05Rik"
"357";"4932431P20Rik"
"358";"4932438A13Rik"
"359";"4932438H23Rik"
"360";"4933400A11Rik"
"361";"4933401B06Rik"
"362";"4933402D24Rik"
"363";"4933402E13Rik"
"364";"4933402J07Rik"
"365";"4933402N03Rik"
"366";"4933402N22Rik"
"367";"4933403O08Rik"
"368";"4933405L10Rik"
"369";"4933405O20Rik"
"370";"4933407L21Rik"
"371";"4933409G03Rik"
"372";"4933411K16Rik"
"373";"4933412A08Rik"
"374";"4933412E24Rik"
"375";"4933414I15Rik"
"376";"4933416E14Rik"
"377";"4933416I08Rik"
"378";"4933417A18Rik"
"379";"4933421I07Rik"
"380";"4933427D14Rik"
"381";"4933428G20Rik"
"382";"4933428M09Rik"
"383";"4933430I17Rik"
"384";"4933434E20Rik"
"385";"4933436I01Rik"
"386";"5031410I06Rik"
"387";"5031439G07Rik"
"388";"5033404E19Rik"
"389";"5033423K11Rik"
"390";"5330417C22Rik"
"391";"5430401F13Rik"
"392";"5430402E10Rik"
"393";"5430403G16Rik"
"394";"5430427O19Rik"
"395";"5530400C23Rik"
"396";"5530401A14Rik"
"397";"5730409E04Rik"
"398";"5730416F02Rik"
"399";"5730455P16Rik"
"400";"5730480H06Rik"
"401";"5730507C01Rik"
"402";"5730522E02Rik"
"403";"5830411N06Rik"
"404";"5830417I10Rik"
"405";"6030458C11Rik"
"406";"6030468B19Rik"
"407";"6030498E09Rik"
"408";"6330409D20Rik"
"409";"6330549D23Rik"
"410";"6430548M08Rik"
"411";"6430550D23Rik"
"412";"6430571L13Rik"
"413";"6720489N17Rik"
"414";"6820408C15Rik"
"415";"6820431F20Rik"
"416";"7420426K07Rik"
"417";"7530416G11Rik"
"418";"7530428D23Rik"
"419";"8030462N17Rik"
"420";"8030474K03Rik"
"421";"9030619P08Rik"
"422";"9030624G23Rik"
"423";"9130008F23Rik"
"424";"9130019O22Rik"
"425";"9130023H24Rik"
"426";"9130208D14Rik"
"427";"9130230L23Rik"
"428";"9130401M01Rik"
"429";"9130409I23Rik"
"430";"9230102O04Rik"
"431";"9230112D13Rik"
"432";"9330159F19Rik"
"433";"9330182L06Rik"
"434";"9330182O14Rik"
"435";"9430015G10Rik"
"436";"9430025C20Rik"
"437";"9430038I01Rik"
"438";"9430069I07Rik"
"439";"9530002B09Rik"
"440";"9530003J23Rik"
"441";"9530053A07Rik"
"442";"9530068E07Rik"
"443";"9530077C05Rik"
"444";"9630041A04Rik"
"445";"9830107B12Rik"
"446";"9930012K11Rik"
"447";"9930021J03Rik"
"448";"9930022D16Rik"
"449";"9930111J21Rik1"
"450";"9930111J21Rik2"
"451";"A130006I12Rik"
"452";"A130010J15Rik"
"453";"A1bg"
"454";"A1cf"
"455";"A230072I06Rik"
"456";"A2m"
"457";"A330070K13Rik"
"458";"A3galt2"
"459";"A430005L14Rik"
"460";"A430033K04Rik"
"461";"A430060F13Rik"
"462";"A430089I19Rik"
"463";"A4galt"
"464";"A4gnt"
"465";"A530016L24Rik"
"466";"A530032D15Rik"
"467";"A530064D06Rik"
"468";"A530084C06Rik"
"469";"A630001G21Rik"
"470";"A630010A05Rik"
"471";"A630023A22Rik"
"472";"A630073D07Rik"
"473";"A630076J17Rik"
"474";"A630095N17Rik"
"475";"A730049H05Rik"
"476";"A730071L15Rik"
"477";"A830005F24Rik"
"478";"A830018L16Rik"
"479";"A830031A19Rik"
"480";"A930002H24Rik"
"481";"A930003A15Rik"
"482";"A930004D18Rik"
"483";"A930009A15Rik"
"484";"A930017K11Rik"
"485";"A930017M01Rik"
"486";"A930018P22Rik"
"487";"A930033H14Rik"
"488";"A930035D04Rik"
"489";"AA413626"
"490";"AA414768"
"491";"AA467197"
"492";"AA543401"
"493";"AA619741"
"494";"AA623943"
"495";"AA792892"
"496";"AA986860"
"497";"Aaas"
"498";"Aacs"
"499";"Aadac"
"500";"Aadacl2"
"501";"Aadacl3"
"502";"Aadat"
"503";"Aagab"
"504";"Aak1"
"505";"Aamdc"
"506";"Aamp"
"507";"Aanat"
"508";"Aar2"
"509";"Aard"
"510";"Aars"
"511";"Aars2"
"512";"Aarsd1"
"513";"Aasdh"
"514";"Aasdhppt"
"515";"Aass"
"516";"Aatf"
"517";"Aatk"
"518";"AB124611"
"519";"Abat"
