"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"12121";"Krt12";"KRT12";NA;-1,11630496541444;NA;NA;"down";NA;NA
"1883";"Btn2a2";"BTN2A2";NA;1,11543654920473;NA;NA;"up";NA;NA
"2756";"Cd74";"CD74";1;1,11516454424746;NA;NA;"up";NA;NA
"15539";"Nlrp14";"NLRP14";NA;1,1143599166595;NA;NA;"up";NA;NA
"12856";"Ldhd";"LDHD";NA;-1,11325377598323;NA;NA;"down";NA;NA
"23311";"Sync";"SYNC";NA;-1,11194887568721;NA;NA;"down";NA;NA
"379";"Adh6b";"ADH6";NA;-1,11163079004836;NA;NA;"down";NA;NA
"6451";"Fgd2";"FGD2";NA;1,11159988519527;NA;NA;"up";NA;NA
"4082";"Ctps1";"CTPS1";NA;1,1115389972421;NA;NA;"up";NA;NA
"15484";"Nipal4";"NIPAL4";NA;1,11075722637343;NA;NA;"up";NA;NA
"22195";"Slfn5";"SLFN5";1;1,10880392848782;NA;NA;"up";NA;NA
"13943";"Mfap2";"MFAP2";NA;1,1084157816382;NA;NA;"up";NA;NA
"3355";"Cipc";"CIPC";NA;-1,10815801152318;NA;NA;"down";NA;NA
"189";"Acox2";"ACOX2";NA;-1,10769558421167;NA;NA;"down";NA;NA
"2577";"Ccl21a";"CCL21";NA;1,10752024644335;NA;NA;"up";NA;NA
"23145";"Stmn3";"STMN3";NA;1,10711681189268;NA;NA;"up";NA;NA
"2728";"Cd36";"CD36";7;-1,1069514860995;NA;NA;"down";NA;NA
"9087";"Hyou1";"HYOU1";NA;1,10468473213551;NA;NA;"up";NA;NA
"6452";"Fgd3";"FGD3";NA;1,10457351146542;NA;NA;"up";NA;NA
"19970";"Pxmp2";"PXMP2";NA;-1,10380152723558;NA;NA;"down";NA;NA
"14431";"Mlkl";"MLKL";2;1,10353792138555;NA;NA;"up";NA;NA
"4144";"Cwh43";"CWH43";2;-1,10327355193244;NA;NA;"down";NA;NA
"23998";"Tmc6";"TMC6";NA;1,10322532227265;NA;NA;"up";NA;NA
"3300";"Chst11";"CHST11";NA;1,10289426178615;NA;NA;"up";NA;NA
"22043";"Slc39a5";"SLC39A5";8;-1,10275820908234;NA;NA;"down";NA;NA
"21897";"Slc25a23";"SLC25A23";7;-1,10201051641651;NA;NA;"down";NA;NA
"13348";"Lysmd2";"LYSMD2";NA;1,10200500805443;NA;NA;"up";NA;NA
"4547";"Ddias";"DDIAS";NA;1,10172617466716;NA;NA;"up";NA;NA
"942";"Apbb1ip";"APBB1IP";NA;1,10151278218069;NA;NA;"up";NA;NA
"22210";"Slpi";"SLPI";1;1,10060345024089;NA;NA;"up";NA;NA
"44";"Abca7";"ABCA7";NA;1,10042303864513;NA;NA;"up";NA;NA
