"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"H2-Q6";0,485701121380691;3,23386734680781;4,0741762310667;4,06393354983394;4,80102336030139;5,33211700633619;5,88256665391546;553,02164055294;3,15073627609696e-116;1,48342392490056e-113;0;1
"Gm12250";1,18882510722284;5,00487854636547;4,80078647990502;4,99865535784024;5,43604784325631;6,75882858323842;4,86458050408551;547,584602840577;4,68273071560514e-115;2,13987020965756e-112;0;1
"Gm4951";-0,701585866367472;4,4340947757558;4,23531657476722;4,70239474065092;5,26740211199785;6,82906069223317;4,03853958154096;531,178297524607;1,60975317413764e-111;7,14592430473616e-109;0;1
"Cwh43";-0,469762076451624;-0,441874368866657;-0,366634882884341;3,21917047571297;2,73252867495639;4,71937778921423;4,05412357452706;511,573002598027;2,70056671906153e-107;1,16551958650164e-104;0;2
"Mmp7";-0,691661907333235;0,561939390575568;1,7078649084337;8,52924871290673;6,14473335904555;7,5516093973835;2,50755665451801;495,03291278539;9,87770722020489e-104;4,14783613730604e-101;0;1
"Cxcl3";1,30024262354354;1,40614148240949;1,7370585902297;7,43940973791585;6,1345947249237;10,6099722165776;2,04281351248742;491,85224871568;4,78357340334447e-103;1,95585210441482e-100;0;2
"H2-DMa";0,401578358791528;3,88080333383736;4,5191956690875;3,66432805575669;4,30275716992958;4,92430349892132;5,75016699382975;478,442488674925;3,69601721159898e-100;1,47243639529778e-97;0;1
"H2-Aa";0,470480823698699;4,33288639478725;5,23453191532708;4,34730833418921;5,04944634419246;5,27677258059482;9,33306140733007;460,619084480222;2,5421542287984e-96;9,87436256321018e-94;0;1
"Ly6d";0,00442545363249963;3,70141531728485;3,71058885453485;9,03550620990964;7,24674141897709;10,4349958022102;2,26752293131096;454,994650484264;4,12959596828472e-95;1,56491542827414e-92;0;1
"Cd74";0,502795928945595;4,38673406401629;5,27445059150215;4,33370849460258;5,00514161132743;5,53214806993841;10,8458874481448;454,344099932757;5,70079588475547e-95;2,10888727765347e-92;0;1
"Gbp4";0,556783787878245;4,28299846920119;3,87673537658447;4,2226977891761;4,97025557925055;6,06117694884181;4,40437761977783;449,845322116197;5,29941035534467e-94;1,91481252769744e-91;0;1
"Igtp";0,844599257636523;3,68951695459681;3,37558702476078;3,28768448709243;4,02720062845825;5,21186007645403;6,98924556147312;442,487439617002;2,03100561166303e-92;7,17175777009283e-90;0;1
